"","Municipio","Ciclos_Presentes","Data_Plantio","Prob_Sucesso","Prob_fracasso","Qtd_El_Nino","Qtd_La_Nina","Qtd_Neutro","P_Suc_El_Nino","P_Suc_La_Nina","P_Suc_Neutro","Média_Ponderada"
"119","ORIZONA",57,"11-09",1,0,13,18,26,1,1,1,1
"120","ORIZONA",54,"21-09",0.95,0.05,15,13,29,0.93,1,0.93,0.95
"121","ORIZONA",52,"01-10",0.91,0.09,14,14,29,0.93,1,0.86,0.91
"122","ORIZONA",50,"11-10",0.88,0.12,13,17,27,0.92,0.94,0.81,0.87
"123","ORIZONA",50,"21-10",0.88,0.12,12,14,31,0.92,0.93,0.84,0.88
"124","ORIZONA",50,"01-11",0.88,0.12,14,16,27,0.86,0.94,0.85,0.88
"125","ORIZONA",53,"11-11",0.93,0.07,11,14,32,0.91,1,0.91,0.93
"126","ORIZONA",53,"21-11",0.93,0.07,15,14,28,0.93,1,0.89,0.93
"127","PADRE BERNARDO",57,"01-09",1,0,15,14,28,1,1,1,1
"128","PADRE BERNARDO",57,"11-09",1,0,13,17,27,1,1,1,1
"129","PADRE BERNARDO",57,"21-09",1,0,15,14,28,1,1,1,1
"130","PADRE BERNARDO",57,"01-10",1,0,14,13,30,1,1,1,1
"131","PADRE BERNARDO",57,"11-10",1,0,15,14,28,1,1,1,1
"132","PADRE BERNARDO",55,"21-10",0.96,0.04,13,13,31,0.92,1,0.97,0.97
"133","PADRE BERNARDO",56,"01-11",0.98,0.02,14,13,30,1,1,0.97,0.98
"134","PADRE BERNARDO",57,"11-11",1,0,14,12,31,1,1,1,1
"135","PADRE BERNARDO",57,"21-11",1,0,12,14,31,1,1,1,1
"136","SANTO ANTONIO DA BARRA",57,"01-09",1,0,14,14,29,1,1,1,1
"137","SANTO ANTONIO DA BARRA",57,"11-09",1,0,14,13,30,1,1,1,1
"138","SANTO ANTONIO DA BARRA",57,"21-09",1,0,15,14,28,1,1,1,1
"139","SANTO ANTONIO DA BARRA",57,"01-10",1,0,12,16,29,1,1,1,1
