"","Municipio","Data_Plantio","MP_Long","Chance_Long","MP_Short","Chance_Short","Recomendação"
"113","MONTIVIDIU","11-10",0.65,"Baixa","0.97","Media","Ciclo_Curto"
"114","MONTIVIDIU","21-10",0.6,"Baixa","0.97","Media","Ciclo_Curto"
"115","MONTIVIDIU","01-11",0.7,"Baixa","0.97","Media","Ciclo_Curto"
"116","MONTIVIDIU","11-11",0.77,"Baixa","0.98","Media","Ciclo_Curto"
"117","MONTIVIDIU","21-11",0.86,"Alta","0.98","Media","Ciclo_Longo"
"118","ORIZONA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"119","ORIZONA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"120","ORIZONA","21-09",0.95,"Media","1","Alta","Ciclo_Curto"
"121","ORIZONA","01-10",0.91,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"122","ORIZONA","11-10",0.87,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"123","ORIZONA","21-10",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"124","ORIZONA","01-11",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"125","ORIZONA","11-11",0.93,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"126","ORIZONA","21-11",0.93,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"127","PADRE BERNARDO","01-09",1,"Media","1","Alta","Ciclo_Curto"
"128","PADRE BERNARDO","11-09",1,"Media","1","Alta","Ciclo_Curto"
"129","PADRE BERNARDO","21-09",1,"Media","1","Alta","Ciclo_Curto"
"130","PADRE BERNARDO","01-10",1,"Media","1","Alta","Ciclo_Curto"
"131","PADRE BERNARDO","11-10",1,"Media","1","Alta","Ciclo_Curto"
"132","PADRE BERNARDO","21-10",0.97,"Media","1","Alta","Ciclo_Curto"
"133","PADRE BERNARDO","01-11",0.98,"Media","1","Alta","Ciclo_Curto"
"134","PADRE BERNARDO","11-11",1,"Media","1","Alta","Ciclo_Curto"
"135","PADRE BERNARDO","21-11",1,"Media","1","Alta","Ciclo_Curto"
"136","SANTO ANTONIO DA BARRA","01-09",1,"Media","1","Alta","Ciclo_Curto"
"137","SANTO ANTONIO DA BARRA","11-09",1,"Media","1","Alta","Ciclo_Curto"
"138","SANTO ANTONIO DA BARRA","21-09",1,"Media","1","Alta","Ciclo_Curto"
"139","SANTO ANTONIO DA BARRA","01-10",1,"Media","1","Alta","Ciclo_Curto"
"140","SANTO ANTONIO DA BARRA","11-10",1,"Media","1","Alta","Ciclo_Curto"
"141","SANTO ANTONIO DA BARRA","21-10",1,"Media","1","Alta","Ciclo_Curto"
"142","SANTO ANTONIO DA BARRA","01-11",1,"Media","1","Alta","Ciclo_Curto"
"143","SANTO ANTONIO DA BARRA","11-11",1,"Media","1","Alta","Ciclo_Curto"
"144","SANTO ANTONIO DA BARRA","21-11",1,"Media","1","Alta","Ciclo_Curto"
"145","SITIO DABADIA","01-09",0.97,"Media","1","Alta","Ciclo_Curto"
"146","SITIO DABADIA","11-09",0.95,"Media","1","Alta","Ciclo_Curto"
"147","SITIO DABADIA","21-09",0.91,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"148","SITIO DABADIA","01-10",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"149","SITIO DABADIA","11-10",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"150","SITIO DABADIA","21-10",0.87,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"151","SITIO DABADIA","01-11",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"152","SITIO DABADIA","11-11",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"153","SITIO DABADIA","21-11",0.88,"Alta","1","Alta","Ciclo_Curto_ou_Longo"
"154","SANTA HELENA DE GOIAS","01-09",0.98,"Media","1","Alta","Ciclo_Curto"
"155","SANTA HELENA DE GOIAS","11-09",0.98,"Media","1","Alta","Ciclo_Curto"
"156","SANTA HELENA DE GOIAS","21-09",0.97,"Media","1","Alta","Ciclo_Curto"
"157","SANTA HELENA DE GOIAS","01-10",0.97,"Media","1","Alta","Ciclo_Curto"
"158","SANTA HELENA DE GOIAS","11-10",0.97,"Media","1","Alta","Ciclo_Curto"
"159","SANTA HELENA DE GOIAS","21-10",0.96,"Media","1","Alta","Ciclo_Curto"
"160","SANTA HELENA DE GOIAS","01-11",0.97,"Media","1","Alta","Ciclo_Curto"
"161","SANTA HELENA DE GOIAS","11-11",0.98,"Media","1","Alta","Ciclo_Curto"
"162","SANTA HELENA DE GOIAS","21-11",0.98,"Media","1","Alta","Ciclo_Curto"
"163","ITAPACI","01-09",1,"Media","1","Alta","Ciclo_Curto"
"164","ITAPACI","11-09",1,"Media","1","Alta","Ciclo_Curto"
"165","ITAPACI","21-09",1,"Media","1","Alta","Ciclo_Curto"
"166","ITAPACI","01-10",1,"Media","1","Alta","Ciclo_Curto"
"167","ITAPACI","11-10",1,"Media","1","Alta","Ciclo_Curto"
"168","ITAPACI","21-10",1,"Media","1","Alta","Ciclo_Curto"
"169","ITAPACI","01-11",1,"Media","1","Alta","Ciclo_Curto"
"170","ITAPACI","11-11",1,"Media","1","Alta","Ciclo_Curto"
"171","ITAPACI","21-11",1,"Media","1","Alta","Ciclo_Curto"
